"Conversion Label","Conversion Label"
"You can leave the Conversion Label field blank if there is no google_conversion_label in the code box.","You can leave the Conversion Label field blank if there is no google_conversion_label in the code box."
"Orders with value 0.00 can be excluded from adwords remarketing if you set this option to Yes <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality.","Orders with value 0.00 can be excluded from adwords remarketing if you set this option to Yes <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality."
"Json Export Options","Json Export Options"
"Public ID","Public ID"
"WeltPixel GoogleTagManager Categories Cache","WeltPixel GoogleTagManager Categories Cache"
"Categories used with Product Events","Categories used with Product Events"
"WeltPixel GoogleTagManager PromoLinkWidget","WeltPixel GoogleTagManager PromoLinkWidget"
"Promo Id","Promo Id"
"Promo Name","Promo Name"
"Promo Creative","Promo Creative"
"Promo Position","Promo Position"
"Link Destination","Link Destination"
"Open link in new tab","Open link in new tab"
"Link Content","Link Content"
